id,loan_status
58645,0
58646,0
58647,0
58648,1
58649,0
58650,0
58651,1
58652,1
58653,0
58654,0
58655,0
58656,0
58657,0
58658,1
58659,1
58660,0
58661,1
58662,1
58663,1
58664,1
58665,0
58666,1
58667,1
58668,1
58669,1
58670,1
58671,0
58672,1
58673,0
58674,1
58675,0
58676,0
58677,1
58678,1
58679,0
58680,1
58681,1
58682,1
58683,0
58684,1
58685,0
58686,1
58687,0
58688,1
58689,0
58690,1
58691,1
58692,1
58693,1
58694,1
58695,0
58696,1
58697,0
58698,1
58699,1
58700,1
58701,1
58702,0
58703,1
58704,0
58705,0
58706,0
58707,1
58708,0
58709,0
58710,1
58711,0
58712,1
58713,1
58714,0
58715,1
58716,1
58717,0
58718,0
58719,1
58720,1
58721,0
58722,0
58723,1
58724,0
58725,1
58726,1
58727,0
58728,1
58729,1
58730,1
58731,1
58732,0
58733,1
58734,1
58735,0
58736,1
58737,0
58738,0
58739,0
58740,0
58741,1
58742,1
58743,1
58744,1
58745,1
58746,1
58747,1
58748,1
58749,0
58750,1
58751,0
58752,1
58753,1
58754,0
58755,1
58756,1
58757,0
58758,1
58759,1
58760,1
58761,1
58762,1
58763,0
58764,1
58765,0
58766,0
58767,1
58768,0
58769,1
58770,0
58771,0
58772,0
58773,1
58774,0
58775,1
58776,0
58777,1
58778,1
58779,1
58780,0
58781,1
58782,1
58783,0
58784,1
58785,1
58786,1
58787,1
58788,1
58789,1
58790,0
58791,1
58792,1
58793,0
58794,0
58795,1
58796,1
58797,0
58798,1
58799,0
58800,1
58801,1
58802,1
58803,0
58804,0
58805,0
58806,0
58807,1
58808,1
58809,1
58810,0
58811,1
58812,1
58813,1
58814,0
58815,1
58816,0
58817,1
58818,1
58819,1
58820,1
58821,1
58822,1
58823,1
58824,1
58825,1
58826,0
58827,1
58828,1
58829,1
58830,0
58831,0
58832,0
58833,1
58834,1
58835,1
58836,1
58837,1
58838,1
58839,1
58840,1
58841,0
58842,1
58843,1
58844,1
58845,1
58846,1
58847,1
58848,0
58849,0
58850,1
58851,0
58852,0
58853,1
58854,0
58855,0
58856,1
58857,0
58858,0
58859,1
58860,0
58861,0
58862,0
58863,0
58864,1
58865,0
58866,1
58867,1
58868,1
58869,1
58870,0
58871,1
